Dosha Type,Category,Symptoms/Disorders,Severity Level,Body System Affected,Mental/Emotional Impact,Physical Manifestations,Seasonal Tendency,Age Group Most Affected
Vata,Nervous System,"Anxiety, Panic Attacks, Restlessness, Nervousness",Moderate-High,Central Nervous System,"Fear, worry, feeling ungrounded, racing mind","Tremors, twitching, palpitations, fidgeting",Autumn/Winter,40+ years
Vata,Nervous System,"Insomnia, Light Interrupted Sleep, Difficulty Falling Asleep",Moderate,Nervous System,"Mental fatigue, concentration issues","Restless sleep, early waking",Autumn/Winter,All ages
Vata,Nervous System,"Memory Loss, Forgetfulness, Lack of Focus",Moderate,Central Nervous System,"Scattered thinking, difficulty concentrating","Mental fog, absent-mindedness",Autumn/Winter,Elderly
Vata,Nervous System,"Neurological Disorders, Paralysis, Hemiplegia",High,Central/Peripheral Nervous,"Depression, helplessness","Muscle weakness, loss of movement",Autumn/Winter,Elderly
Vata,Digestive,"Constipation, Irregular Bowel Movements, Hard Dry Stools",Moderate,Digestive System,Worry about elimination,"Bloating, gas, abdominal pain",Autumn/Winter,All ages
Vata,Digestive,"Bloating, Gas, Abdominal Distension",Mild-Moderate,Digestive System,"Discomfort, anxiety","Visible abdominal swelling, pain",Autumn/Winter,All ages
Vata,Digestive,"Irregular Appetite, Weight Loss, Difficulty Gaining Weight",Moderate,Digestive System,"Food anxiety, poor relationship with food","Visible weight loss, weakness",Autumn/Winter,Young adults
Vata,Digestive,IBS (Irritable Bowel Syndrome),Moderate-High,Digestive System,"Stress around eating, food fears",Alternating constipation/diarrhea,Autumn/Winter,20-40 years
Vata,Musculoskeletal,"Joint Pain, Arthritis, Stiffness",Moderate-High,Joints/Bones,"Frustration, limited mobility fears","Joint cracking, stiffness, pain",Autumn/Winter,40+ years
Vata,Musculoskeletal,"Back Pain, Sciatica, Muscle Spasms",Moderate-High,Spine/Muscles,Pain-related anxiety,"Sharp, shooting pains, spasms",Autumn/Winter,30+ years
Vata,Musculoskeletal,"Osteoporosis, Bone Weakness",High,Skeletal System,"Fear of fractures, dependency","Bone density loss, fractures",Autumn/Winter,Post-menopausal women
Vata,Circulatory,"Poor Circulation, Cold Hands/Feet",Mild-Moderate,Circulatory System,"Discomfort, isolation","Cold extremities, numbness",Autumn/Winter,All ages
