Therapy Name,Primary Conditions,Duration (Minutes),Prakriti Suitability,Pre-requisites
Vamana (Therapeutic Vomiting),"Asthma, Chronic colds, Skin diseases, Kapha disorders, Obesity, Bronchitis",30-45,"Kapha predominant, Kapha-Pitta","3 days Snehapana (ghee), Swedana, Empty stomach, Medical supervision"
Virechana (Purgation),"Hyperacidity, Skin diseases, Digestive disorders, Pitta imbalances, Constipation, Liver disorders",45-60,"Pitta predominant, Pitta-Kapha","3-7 days Snehapana, Swedana, Deepana-Pachana, Medical clearance"
Basti (Medicated Enema),"Arthritis, Neurological disorders, Chronic constipation, Vata disorders, Paralysis, IBS",30-45,"Vata predominant, Vata-Pitta, Tridosha","Abhyanga, Swedana, Empty stomach/bladder, Proper positioning"
Nasya (Nasal Administration),"Sinusitis, Migraine, Respiratory disorders, Head & neck ailments, Mental clarity, Allergic rhinitis",15-30,"Kapha predominant, All constitutions","Abhyanga (head/face), Steam inhalation, Clear nasal passage"
Raktamokshana (Bloodletting),"Skin disorders, Hypertension, Blood impurities, Pitta-related blood disorders, Eczema, Psoriasis",30-60,"Pitta predominant, Pitta-Vata","Medical assessment, Blood tests, Sterile environment, Expert supervision"
Pizhichil (Oil Bath),"Arthritis, Paralysis, Muscle weakness, Neurological conditions, Rejuvenation, Hemiplegia",60-90,"Vata predominant, Vata-Pitta","Abhyanga preparation, Temperature regulation, Multiple therapists, Oil heating"
Kayakalpam (Rejuvenation Therapy),"Anti-aging, General rejuvenation, Immunity boost, Vitality enhancement, Longevity",90-120,All constitutions,"Complete health assessment, Panchakarma preparation, Specialized facility, Expert guidance"
Shirodhara (Oil Pouring on Head),"Stress, Insomnia, Anxiety, Mental disorders, Headaches, Hair problems, Depression",30-45,"All constitutions, especially Vata-Pitta","Head massage, Proper positioning, Suitable oil temperature, Relaxed environment"
Shirobasti (Head Oil Bath),"Headaches, Mental stress, Hair fall, Premature graying, Neurological disorders, Memory loss",30-45,"Vata predominant, Vata-Pitta","Head massage, Oil warming, Leather cap fitting, Comfortable positioning"
Thakradhara (Buttermilk Therapy),"Insomnia, Anxiety, Mental fatigue, Skin diseases, Digestive disorders, Nervous system",30-45,"Pitta-Vata, All constitutions","Milk preparation, Temperature regulation, Calm environment, Stress assessment"
Shareera Dhara (Body Oil Pouring),"Muscle weakness, Joint pain, Circulation issues, General debility, Nerve disorders",45-60,"Vata predominant, All constitutions","Body massage preparation, Oil heating system, Multiple therapist coordination"
Podikizhi (Powder Bolus),"Arthritis, Paralysis, Muscular pain, Joint stiffness, Inflammatory conditions, Back pain",30-40,"Vata-Kapha, All constitutions","Herbal powder preparation, Oil heating, Cloth bolus making, Body preparation"
Elakizhi (Leaf Bolus),"Joint pain, Muscle stiffness, Arthritis, Sports injuries, Inflammatory conditions, Swelling",25-35,"All constitutions, Vata-Kapha","Fresh leaf selection, Oil heating, Proper bolus preparation, Clean environment"
Njavarakizhi (Rice Bolus),"Paralysis, Muscular atrophy, Joint stiffness, Cerebral palsy, Emaciation, Weakness",30-40,"Vata predominant, Vata-Pitta, Tridosha","Njavar rice preparation (3 days), Milk/decoction ready, Vital monitoring"
Narangakizhi (Lemon Bolus),"Joint inflammation, Muscle spasms, Localized pain, Sports injuries, Stiffness",25-30,"Vata-Kapha, All constitutions","Fresh lemon preparation, Leaf selection, Oil heating, Bolus preparation"
Dhanyakizhi (Grain Bolus),"Muscle weakness, Joint disorders, Nutritional deficiencies, General debility",30-35,"Vata predominant, All constitutions","Grain selection, Proper cooking, Oil preparation, Cloth bolus making"
